category,text,encoded_category
sport,ireland call up uncapped campbell ulster scrum-half kieran campbell is one of five uncapped players included in ireland s rbs six nations squad.  campbell is joined by ulster colleagues roger wilson and ronan mccormack along with connacht s bernard jackman and munster s shaun payne. gordon d arcy is back after injury while munster flanker alan quinlan also returns to international consideration.  the squad is selected purely on form. a lot of players put their hands up   coach eddie o sullivan told bbc sport.  kieran campbell was just one of those players. he has been playing very well in the heineken cup and deserves his call-up.  there is big competition in some departments and not so much in others. there were one or two players who were unfortunate just to miss out.  back-row forwards david wallace and victor costello are omitted  with o sullivan having quinlan  wilson  simon easterby  anthony foley  denis leamy and johnny o connor vying for the three positions.  with david humphreys  kevin maggs  simon best and tommy bowe again included  it is ulster s biggest representation in a training panel for quite some time. munster and leinster have 12 and 11 players in the squad respectively while jackman is the sole connacht representative. four british-based players are also included. ulster forward ronan mccormack said he was  totally shocked  to be included.  i m really looking forward to it   said mccormack.  i played with guys like brian o driscoll and denis hickie back in my school days in leinster so i do know a few of them although not that well.  it will be great to work with them.   s best (ulster)  s byrne (leinster)  r corrigan (leinster)  l cullen (leinster)  s easterby (llanelli)  a foley (munster)  j hayes (munster)  m horan (munster)  b jackman (connacht)  d leamy (munster)  e miller (leinster)  r mccormack (ulster)  d o callaghan (munster)  p o connell (munster)  j o connor (wasps)  m o kelly (leinster)  f sheahan (munster)  r wilson (ulster)  a quinlan (munster).  t bowe (ulster)  k campbell (ulster)  g d arcy (ulster)  g dempsey (leinster)  g duffy (harlequins)  g easterby (leinster)  d hickie (leinster)  a horgan (munster)  s horgan (leinster)  d humphreys (ulster)  k maggs (ulster)  g murphy (leicester)  b o driscoll  (leinster)  r o gara (munster)  s payne (munster)  p stringer (munster).  k gleeson (leinster)  t howe (ulster)  j kelly (munster)  n mcmillan (ulster).,3
tech,call for action on internet scam phone companies are not doing enough to warn customers about internet  rogue-dialling  scams  according to premium phone line regulator icstis.  it has received 45 000 complaints in recent months about dial-up internet connections diverting to premium rate numbers without users  knowledge. phone companies refuse to pay compensation because they say calls must be paid for. they must warn people earlier about possible fraud  icstis said.  people who use dial-up connections can be affected by the scams. without realising  a program can be downloaded which diverts internet calls via a premium phone line. victims often fail to notice until they receive an unusually high bill. icstis spokesman rob dwight said:  phone companies should get in touch with their customers sooner.  if my bill goes over the usual £50 a month i want to know about it straight away - i don t want to be told when it s hit £750.   phone companies had the systems in place to spot fraudulent activity and artificially-inflated traffic  he said.  we alert them to the numbers that we have under investigation and they should be looking out for these numbers   he added.  telecoms ombudsman elizabeth france said:  certainly i would not be surprised to find my credit card company phoning me if i do something out of the ordinary.  so i would expect phone companies to be looking to see if they can have a similar approach.  the biggest phone company bt says it is doing what it can to monitor fraud and warn people about rogue dialling. its advice to customers is to use call barring if they want to prevent calls to premium lines because  under the current system  once the call has been made there s little that can be done.  gavin patterson  group managing director for bt consumer  said  we do look at customer s calling patterns and we do make interventions when they are out of the ordinary.  we re looking at the moment at whether we can improve this.  but as bt handled 180 million calls a day monitoring was  quite a task in itself   he added. the government has ordered a review of premium line services and is likely to say icstis should have more power to deal with rogue diallers in future. at the moment  it cannot demand pay-outs on the behalf of customer - it can only close illegal services down.  i use free anti-virus software (avg) and free firewall protection (zonealarm). both of these tools have prevented unauthorised access and outgoing calls inadvertently and innocently caused by my daughter s love of music sites. how about isps informing all customers of such facilities  the responsibility clearly falls with the customer but many fall prey through simply not knowing how to avoid these issues.  ignorance is and always has been an expensive business.  does any one know what happens once this fraud has been committed and recognised  the phone companies pay the people who obtaining money fraudulently  so are these people followed up and prosecuted    these diallers are mainly downloaded from sites offering illegal mp3s  porn and pirated software. if people didn t visit such sites they d be considerably less at risk. whatever happened to personal responsibility  it seems everyone has to be a  victim  these days!  part of the blame has to rest with the manufacturers of home computer operating systems. a secure system should not allow a web page or email to download and install anything without the user s knowledge.  these scams are illegal and telephone companies should have nothing to do with them. they should refuse to pay money over to the perpetrators. or are they themselves receiving such good returns that it is in their interest to keep the scam going   why don t bt et al block all premium numbers by default and only turn it off at the customer s request  to anyone who falls foul of this scam - refuse to pay your telephone provider for these calls. after you notify your telephone provider of these fraudulent transactions  they cannot insist on you paying the bill. to do so would be to knowingly assist the fraudsters to commit the fraud. no customers have yet been taken to court for refusing to pay these bills.  disable or remove your modem and use broadband instead - then you have nothing to worry about. or buy some decent firewall software and anti-virus. you would not walk out in the freezing cold without a coat - you would not drive your car without any insurance - so why not protect your pc  stop blaming the phone companies - it s not their fault!  i was very impressed with our phone company recently. i had kept ringing a hotline number for kylie tickets and next day they rang back to ask if i was aware there were 40-odd calls to the same number. great service. and i got the tickets as well!  i have a colleague who has fallen victim to this kind of scam. he informed the phone company about it  they subsequently put a block on premium rate numbers. three months later another huge bill of over £1 000 came in - the block apparently didn t work and he still has to pay for it  even though a block was in place. phone companies are probably quite happy for their customers to be hit with a huge bill  otherwise they d be taking extra steps to prevent this kind of problem.  i have been scammed of £139. the operator will do nothing about this and  to add insult to injury  i was charged vat by the government.  premium rate numbers have been subject to various scams ever since they were invented. one example was where thieves would set up a premium rate number and then dial it day and night from phones whose quarterly bills were never paid. the telephone company was the victim here and you can bet that loophole was blocked very quickly.  i know people who have run up large bills  despite being it-literate. from talking to bt in belfast  i believe that they will shortly be giving out a free application that can stop you dialling expensive numbers without knowing. it s not the fault of phone companies  and at last they are doing something about it.  it s about time that the profiteering by the  legitimate  phone companies came to an end  mainly by doing away with dial-up altogether and bring broadband down to the same price as dial-up! not only will this ruin things for the dialler scammers but also allow people to update and upgrade their security more easily and quickly.  i haven t  fallen victim to a rogue-dialling scam  but i think you re seriously remiss in not pointing out that the vast majority of these scams arise from people trying to access services purporting to provide free pornography. in most cases the user is entirely at fault  which is probably why the telephone companies are rightly unwilling to refund them.  my telephone supplier did not inform me that my monthly bill had risen from its normal £3 to £5  to £320. this was because of the scam. they simply billed me. what particularly galls me  over and above having over £300 stolen  is that the supplier and the government (through vat) are profiting from this crime and will not reimburse me their portion of my losses.  how about an automatic monthly cap of say £20 on premium rate calls that you would have to contact your provider to have lifted  that way you could use legitimate premium rate numbers while limiting fraudulent usage. at least any disputed amount would be limited  far easier for a telecoms operator to write off £20 than it is £750.  a few years back i was also the target of such scams but thank god i have already upgraded to broadband and nothing was connected to my modem so all i heard was the sound of an attempted connection.  how about home users take some responsibility and ensure their anti-virus and firewall software is up to date  that should prevent the vast majority of these scams.,4
business,chinese wine tempts italy s illva italy s illva saronno has agreed to buy 33% of changyu  the largest wine maker in china.  changyu said in a statement to the shenzhen stock exchange that illva will pay 481.42m yuan ($58.16m; £30.7m)  once the government approves the deal. the italian liqueur maker will acquire the shares from the yantai state asset management bureau. chinese wine sales are growing  the us agriculture department said  with wine sales in 2003 up 25% at 61.1bn yuan.  china is encouraging state-owned companies to sell shares to foreign investors. anheuser-busch  heineken and scottish & newcastle have all invested in the chinese beer industry in the last two years and now illva saronno is betting on the chinese wine market. yantai state asset management bureau - a government agency in the north-eastern city of yantai - owns 55% of changyu. the state agency will also sell 10% of its stake in changyu to another overseas company  although it didn t say who. the remaining 12% will be retained by the yantai city government. the consumption of wine in china is still low  at just 0.22 litres per capita  said the us agriculture department. this compares with 59 litres in france  12 litres in the us and three litres in japan.,0
entertainment,us  to raise tv indecency fines  us politicians are proposing a tough new law aimed at cracking down on indecency and bad language on us tv.  fines of up to $500 000 (£266 582) could be imposed each time broadcasters transmit nudity or profanities. the proposal  unveiled in the house of representatives  also seeks to revoke a broadcaster s licence after three violations have been committed. the exposure of janet jackson s breast at last year s superbowl landed cbs with a $550 000 (£293 264) fine. entertainers could also be liable for fines under the proposed legisation from both us politcians and officials from the federal communications commission (fcc). a republican senator from kansas  sam brownbeck  is set to call for a maximum $3 million (£1.6 million) fine for repeated violations.  the current maximum fine stands at $32 500 (£17 320) - 20 of the stations in the cbs network were each penalised these lesser amounts for the jackson incident. republican politician fred upton  who chairs the committee responsible for broadcasting  said current fines are  more of a cost of doing business rather than a deterrent . last year s janet jackson  wardrobe malfunction  encouraged the fcc to impose tougher rules  but the us congress adjourned last year without agreeing on a new level of fines. new figures have to be decided before new legislation can be put before president bush. certain broadcasters  like fox  claim the material they carry does not violate indecency laws and is protected under the right to free speech.,1
business,news corp makes $5.4bn fox offer news corporation is seeking to buy out minority investors in fox entertainment group  its broadcasting subsidiary  for about $5.4bn (£3.7bn).  the media giant  run by rupert murdoch  owns 82% of the shares in the company  home to the fox television network and the 20th century fox film studio. the move follows news corp s decision to register its business in the us. 20th century fox s recent film releases include i heart huckabees and i  robot  while fox puts out hit tv series 24.  under the terms of the offer  minority fox shareholders will receive 1.90 news corp shares in return for each fox share they hold. analysts said the decision to list news corp in the us - which will result in the firm s shares trading in new york rather than sydney- nullified the need to retain a separate stock market listing for fox entertainment shares. news corp investors voted in october to approve the transfer of the company s corporate domicile from australia to the us state of delaware. the move is designed to help news corp attract more investment from the largest us financial institutions  and make it easier to raise capital. fox entertainment group generated revenues of $12bn last year. news corp shares fell 25 cents to $17.65 after the share offer was announced while fox shares were up 19 cents at $31.22.,0
business,s&n extends indian beer venture the uk s biggest brewer  scottish and newcastle (s&n)  is to buy 37.5% of india s united breweries in a deal worth 4.66bn rupees ($106m:£54.6m).  s&n will buy a 17.5% equity stake in united  maker of the well-known kingfisher lager brand  and make a public offer to buy another 20% stake. a similar holding will be controlled by vijay mallya  chair of the indian firm. the deal was a  natural development  of its joint venture with united  said tony froggatt  s&n s chief executive.  its top brands include newcastle brown ale  foster s  john smith s  strongbow and kronenbourg. in 2002 s&n and united agreed to form a strategic partnership  one that would include a joint venture business and a uk investment in the indian brewer. the joint venture was established in may 2003. with both parties having a 40% stake in the venture - millennium alcobev. millennium alcobev will now be merged with united  which expects post-merger to have about half of india s beer market.  india  with a population of more than one billion  consumes about 1.2 billion bottles of beer every year. kingfisher has market share of about 29%. in addition to the equity stake s&n is to invest 2.47bn rupees in united through non-convertible redeemable preference shares. meanwhile  united s budget airline  kingfisher airlines  is to buy 10 a320 aircraft from airbus and has the option to buy 20 more aircraft in a deal worth up to $1.8bn. the airline  the brainchild of mr mallya  expects to start its operations by the end of april. the new airline would break even in the very first year of operation  mr mallya said.,0
entertainment,halloween writer debra hill dies screenwriter and producer debra hill  best known for her work on the 70s horror classic halloween  has died in los angeles aged 54.  hill  who had been suffering from cancer  co-wrote the 1978 film  which starred jamie lee curtis as a babysitter terrorised by a psychopath. directed by john carpenter  it made over $60m (£31.3m) worldwide - a record for independent film at that time. hill also worked with carpenter on escape from new york and the fog. born in new jersey  hill began her career as a production assistant and worked her way through the ranks  becoming an assistant director and second-unit director before she began collaborating with carpenter.  she was regarded by many as a pioneering woman in film  taking on jobs in the 70s that were more commonly taken by men.  back when i started in 1974  there were very few women in the industry   she said in 2003.  i was assumed to be the make-up and hair person  or the script person. i was never assumed to be the writer or producer.   i took a look around and realised there weren t that many women  so i had to carve a niche for myself.  carpenter said that working with hill was  one of the greatest experiences of my life .  the ground that she trailblazed in the beginning can now be followed by anyone. she was incredibly capable and talented   he said. carpenter and hill collaborated on a number of halloween sequels  including halloween ii  halloween: resurrection and halloween: the curse of michael myers.  later in her career  hill formed a production company with her friend lynda obst  making a string of hit films including oscar nominee the fisher king and teen comedy adventures in babysitting. other films included the stephen king adaptation the dead zone in 1983 and 1985 s clue  a comedy based on the board game cluedo. in the 90s she pursued work in tv  although she was reunited with carpenter in 1996 for escape from la  the sequel to escape from new york. at the time of her death she was working on a film about the last two men pulled from the rubble of the twin towers following the 11 september terror attacks in 2001. she was also co-producing the remake of the fog  which is due for release early next year.,1
business,g7 backs africa debt relief plan g7 finance ministers have backed plans to write off up to 100% of the debts of some of the world s poorest countries.  uk chancellor gordon brown said the london meeting of the world s seven richest nations would be remembered as  the 100% debt relief summit . some 37 countries could benefit after a case-by-case review by bodies including the world bank and the imf  he said. but the us says it cannot support mr brown s international finance facility to boost aid to developing countries. bbc correspondents said the meeting had produced some movement towards the uk s ambitions  but much work was needed. mr brown said it was a major breakthrough for the international organisations to offer up to 100% multilateral debt relief -  the vast bulk  of money owed by the poorest countries.   we could be at the beginning of the final stage of the process where the debts that were owed by the poorest countries  built up over 20 or 30 years  debts that are simply unpayable in the real world  are finally taken care of   he said. he added:  it is the richest countries hearing the voices of the poor.  but he said they would insist on government reforms and the need for transparency  tackling corruption and openness from both the poorest and richest nations. bbc correspondent patrick bartlett said while it was an agreement in principle  the organisations involved now have to look at how it would work in practice. oxfam senior policy adviser max lawson welcomed the statement and said g7 ministers had  passed the first hurdle of 2005 .  but he added:  they need to move quickly to turn their proposals into real change for the world s poorest.  two million children will die needlessly between now and the next meeting in april. if rich countries are going to keep their promises to tackle obscene poverty they need deliver - and deliver quickly.  talks are continuing on how to finance increased overseas development assistance. the international monetary fund (imf) is to look at a proposal to use its gold supplies to help the debt relief effort when it meets in april. mr brown said g7 ministers had agreed to defer debt interest payments and repayments for some countries affected by the tsunami until the end of 2005. but uk plans for an international finance facility (iff) to help deal with debt in the developing world have not been agreed. mr brown wanted to provide $10bn (£5.38bn) a year over a decade  using g7 backing so the money could be borrowed up front on financial markets.  it is a key element of his proposals for a modern version of the marshall plan  which brought us aid to rebuild europe after world war ii  for the developing world. mr brown said it was  winning support every day  and said a programme had been agreed to draw up more details in time for the g8 summit in july. but us treasury under-secretary john taylor said the us could not support the iff because of its  legislative process .  the us is completely committed to poverty reduction and providing financing to do that   he said.  but this particular mechanism does not work for the united states. it works for other countries  and that is fine.  earlier  he told bbc radio 4 s today programme the us had increased support for africa in the past four years from $1.1bn per year to $4.6bn per year. but south africa finance minister trevor manuel told the bbc s talking point programme what was needed was one approach  with all wealthy nations on board. he said much of the money pledged by the us had not yet been dispensed.  the uk has made poverty in the poorest nations a key theme for its 2005 presidency of the group of eight (g8)  which comprises the g7 and russia. the g8 countries will meet at gleneagles in scotland. at a dinner on friday night  former south african president nelson mandela backed mr brown s plan when he urged the finance chiefs to write-off african debt and provide an extra $50bn (£26.69bn) a year in aid for the next decade. talks also centred on the impact of the rising economies of china and india  the us budget and trade deficits  how the us  europe and japan can act to boost global economic growth  and hiv/aids. g7 ministers called for more flexibility in international exchange rates and said  excess volatility  would impede economic growth. representatives from china  india  russia  south africa and brazil were invited to attend some of the sessions. a g8 summit is set to take place in july.,0
tech,bt program to beat dialler scams bt is introducing two initiatives to help beat rogue dialler scams  which can cost dial-up net users thousands.  from may  dial-up net users will be able to download free software to stop computers using numbers not on a user s  pre-approved list . inadvertently downloaded by surfers  rogue diallers are programs which hijack modems and dial up a premium rate number when users log on. thousands of uk dial-up users are believed to have been hit by the scam. some people have faced phone bills of up to £2 000. bt s modem protection program will check numbers that are dialled by a computer and will block them if they have not been pre-approved  such as national and net service provider numbers. icstis  the uk s premium rate services watchdog  said it had been looking for companies to take the lead in initiatives.  the initiatives are very welcome   a spokesperson from icstis told the bbc news website.  we are very pleased to see they are putting into place new measures to protect consumers.   the second initiative bt announced is an early warning system which will alert bt customers if there is unusual activity on their phone bills. if a bill rises substantially above its usual daily average  or if a call is made to a suspect number  a text or voice alert will be sent to the user s landline phone. as part of the clamp-down on rogue diallers  companies must now satisfy stringent conditions  including clear terms and conditions  information about how to delete diallers and responsibility for customer refunds. any firm running a dialler without permission can now be closed down by icstis. the watchdog brought in the action last october following a decision to license all companies which wanted to operate legitimate premium rate dialler services.  there are legitimate companies who offer services such as adult content  sports results and music downloads by charging a premium rate rather than by credit card bt said it had ploughed an enormous amount of effort into protecting people from the problem. it has already barred more than 1 000 premium rate numbers and has tried to raise public awareness about the scams.  we now want to ensure there are even stronger safeguards for our customers  who we would urge to make use of these new options to protect themselves   said gavin patterson  group managing director for consumer the arm of bt. both schemes have been undergoing trials in ireland  and will be made available to 20 million bt customers from may.,4
business,yukos unit fetches $9bn at auction a little-known russian company has bought the main production unit of oil giant yukos at auction in moscow.  baikal finance group outbid favourite gazprom  the state-controlled gas monopoly  to buy yuganskneftegas. baikal paid 260.75bn roubles ($9.37bn: £4.8bn) for yugansk - nowhere near the $27bn russia says yukos owes in taxes. yukos reacted immediately by repeating its view that the auction was illegal in international and russian law  and said baikal had bought itself trouble.   the company considers that the victor of today s auction has bought itself a serious $9bn headache   said yukos spokesman alexander shadrin. he said the company would continue to make  every lawful move  to protect tens of thousands of shareholders in yukos from  this forcible and illegitimate removal of their property . meanwhile  tim osborne  head of yukos main shareholders  group menatep  said that yukos may have to declare itself bankrupt  and that legal action would be taken  outside russia  against the auction winners. reports from russia say baikal has paid a deposit of nearly $1.7bn from a sberbank (savings bank) account to the russian federal property fund  for yugansk.  the sale came despite a restraining order issued by a us court dealing with the firm s bankruptcy application for chapter 11 protection. yukos has always insisted the auction was state-sponsored theft but russian authorities argued they were imposing the law  trying to recover billions in unpaid taxes. there were originally four registered bidders  and with its close ties to the kremlin  state-backed gas monopoly gazprom had been seen as favourite. but just two companies turned up for the auction  gazprom and the unknown baikal finance group  named after a large freshwater lake in siberia. and  according to tass news agency  gazprom did not make a single bid  leaving the way open for baikal  which paid above the auction start price of 246.75bn roubles.  mystery firm baikal finance group is officially registered in the central russian region of tver  but many analysts believe it may be linked to gazprom. kaha kiknavelidze  analyst at troika dialog  said:  i think a decision that yugansk should end up with gazprom was taken a long time ago. so the main question was how to structure this transaction.   i would not exclude that the structure of the deal has slightly changed and gazprom now has a partner.  i would also not exclude that baikal will decline to pay in 14 days  that are given by law  and gazprom is then recognised as the winner. this would give gazprom an extra 14 days to accumulate the needed funds.  another surprise was that the winner paid a significant premium above the starting price.  however  gazprom has announced it is not linked to baikal in any way. and paul collison  chief analyst at brunswick ubs  said:  i see no plausible explanation for the theory that baikal was representing competing interests.  yugansk will most likely end up with gazprom but could still end up with the government. there is still potential for surprises.  yugansk is at the heart of yukos - pumping close to a million barrels of oil a day. the unit was seized by the government which claims the oil giant owes more than $27bn in taxes and fines. yukos says those tax demands are exorbitant  and had sought refuge in us courts.  the us bankruptcy court s initial order on thursday - to temporarily block the sale - in response to yukos filing for chapter 11 bankruptcy protection  was upheld in a second ruling on saturday. the protection  if recognised by the russian authorities  would have allowed yukos  current management to retain control of the business and block the sale of any company assets. yukos has said the sale amounts to expropriation - punishment for the political ambitions of its founder  mikhail khodorkovsky. mr khodorkovsky is now in jail  on separate fraud charges. but president vladimir putin has described the affair as a crackdown on corruption - and the bbc s sarah rainsford in moscow says most russians believe the destruction of yukos is now inevitable. hours before the auction lawyers for menatep  a group through which mr khodorkovsky and his associates control yukos  said they would take legal action in other countries. menatep lawyers  who were excluded from observing the auction  said they would retaliate by seeking injunctions in foreign courts to impound russian oil and gas exports.,0
